1805.11.04_CaledonianMercury_0002,1805.11.01_TheMorningChronicle_0003
1805.11.06_TheAberdeenJournal_0002,1805.11.05_TheHullPacket_0002
1805.11.07_CaledonianMercury_0002,1805.11.04_TheMorningChronicle_0003
1805.11.07_CaledonianMercury_0003,1805.11.05_TheMorningChronicle_0002
1805.11.07_Trewman'sExeterFlyingPost_0002,1805.11.04_CaledonianMercury_0002
1805.11.07_Trewman'sExeterFlyingPost_0003,1805.11.02_Jackson'sOxfordJournal_0002
1805.11.09_CaledonianMercury_0002,1805.11.07_TheMorningChronicle_0001
1805.11.09_CaledonianMercury_0003,1805.11.07_TheMorningChronicle_0002
1805.11.09_Cobbett'sWeeklyPoliticalRegister_0007,1805.11.07_CaledonianMercury_0002
1805.11.09_Cobbett'sWeeklyPoliticalRegister_0008,1805.11.07_CaledonianMercury_0002
1805.11.09_Cobbett'sWeeklyPoliticalRegister_0009,1805.11.07_CaledonianMercury_0002
1805.11.09_Cobbett'sWeeklyPoliticalRegister_0010,1805.11.07_CaledonianMercury_0002
1805.11.09_Cobbett'sWeeklyPoliticalRegister_0011,1805.11.07_CaledonianMercury_0002
1805.11.09_Cobbett'sWeeklyPoliticalRegister_0012,1805.11.05_TheMorningChronicle_0002
1805.11.09_Cobbett'sWeeklyPoliticalRegister_0014,1805.11.07_TheMorningChronicle_0001
1805.11.09_Cobbett'sWeeklyPoliticalRegister_0015,1805.11.07_TheMorningChronicle_0002
1805.11.09_Cobbett'sWeeklyPoliticalRegister_0016,1805.11.07_TheMorningChronicle_0002
1805.11.09_Jackson'sOxfordJournal_0001,1805.11.07_Trewman'sExeterFlyingPost_0004
1805.11.09_Jackson'sOxfordJournal_0002,1805.11.07_TheMorningChronicle_0002
1805.11.09_Jackson'sOxfordJournal_0004,1805.11.05_TheHullPacket_0003
1805.11.09_TheIpswichJournal_0002,1805.11.07_TheMorningChronicle_0002
1805.11.09_TheIpswichJournal_0004,1805.11.07_CaledonianMercury_0002
1805.11.09_TheNewcastleCourantetc_0002,1805.11.07_CaledonianMercury_0002
1805.11.09_TheNewcastleCourantetc_0004,1805.11.07_TheMorningChronicle_0001
1805.11.11_CaledonianMercury_0002,1805.11.09_TheMorningChronicle_0002
1805.11.11_HampshireTelegraphandSussexChronicleetc_0002,1805.11.07_CaledonianMercury_0002
1805.11.11_HampshireTelegraphandSussexChronicleetc_0004,1805.11.09_Jackson'sOxfordJournal_0002
1805.11.12_TheHullPacket_0002,1805.11.09_TheIpswichJournal_0002
1805.11.12_TheHullPacket_0003,1805.11.09_TheMorningChronicle_0002
1805.11.12_TheHullPacket_0004,1805.11.09_Jackson'sOxfordJournal_0001
1805.11.13_TheAberdeenJournal_0002,1805.11.09_TheIpswichJournal_0002
1805.11.13_TheAberdeenJournal_0003,1805.11.07_TheMorningChronicle_0002
1805.11.14_CaledonianMercury_0001,1805.11.13_TheAberdeenJournal_0003
1805.11.14_CaledonianMercury_0002,1805.11.11_HampshireTelegraphandSussexChronicleetc_0003
1805.11.14_CaledonianMercury_0003,1805.11.12_TheMorningChronicle_0002
1805.11.14_Trewman'sExeterFlyingPost_0002,1805.11.13_TheAberdeenJournal_0002
1805.11.14_Trewman'sExeterFlyingPost_0003,1805.11.09_TheMorningChronicle_0002
1805.11.14_Trewman'sExeterFlyingPost_0004,1805.11.12_TheMorningChronicle_0002
1805.11.16_CaledonianMercury_0002,1805.11.13_TheMorningChronicle_0002
1805.11.16_CaledonianMercury_0003,1805.11.14_TheMorningChronicle_0003
1805.11.16_CaledonianMercury_0004,1805.11.06_TheAberdeenJournal_0001
1805.11.16_Cobbett'sWeeklyPoliticalRegister_0010,1805.11.08_TheMorningChronicle_0002
1805.11.16_Cobbett'sWeeklyPoliticalRegister_0011,1805.11.08_TheMorningChronicle_0002
1805.11.16_Cobbett'sWeeklyPoliticalRegister_0012,1805.11.09_TheMorningChronicle_0002
1805.11.16_Cobbett'sWeeklyPoliticalRegister_0013,1805.11.13_TheMorningChronicle_0002
1805.11.16_Cobbett'sWeeklyPoliticalRegister_0014,1805.11.14_Trewman'sExeterFlyingPost_0004
1805.11.16_Cobbett'sWeeklyPoliticalRegister_0015,1805.11.14_Trewman'sExeterFlyingPost_0004
1805.11.16_Jackson'sOxfordJournal_0001,1805.11.14_Trewman'sExeterFlyingPost_0004
1805.11.16_Jackson'sOxfordJournal_0002,1805.11.14_TheMorningChronicle_0002
1805.11.16_Jackson'sOxfordJournal_0004,1805.11.14_CaledonianMercury_0002
1805.11.16_TheIpswichJournal_0002,1805.11.14_TheMorningChronicle_0003
1805.11.16_TheIpswichJournal_0004,1805.11.09_TheMorningChronicle_0002
1805.11.16_TheNewcastleCourantetc_0002,1805.11.09_TheMorningChronicle_0002
1805.11.18_CaledonianMercury_0002,1805.11.15_TheMorningChronicle_0002
1805.11.18_CaledonianMercury_0004,1805.11.08_TheMorningChronicle_0002
1805.11.18_HampshireTelegraphandSussexChronicleetc_0002,1805.11.16_TheMorningChronicle_0003
1805.11.18_HampshireTelegraphandSussexChronicleetc_0004,1805.11.14_Trewman'sExeterFlyingPost_0004
1805.11.19_TheHullPacket_0001,1805.11.14_Trewman'sExeterFlyingPost_0004
1805.11.19_TheHullPacket_0002,1805.11.14_CaledonianMercury_0002
1805.11.19_TheHullPacket_0004,1805.11.16_Jackson'sOxfordJournal_0001
1805.11.20_TheAberdeenJournal_0001,1805.11.16_CaledonianMercury_0004
1805.11.20_TheAberdeenJournal_0002,1805.11.14_Trewman'sExeterFlyingPost_0004
1805.11.20_TheAberdeenJournal_0003,1805.11.16_CaledonianMercury_0003
1805.11.21_CaledonianMercury_0002,1805.11.18_TheMorningChronicle_0003
1805.11.21_CaledonianMercury_0004,1805.11.18_TheMorningChronicle_0003
1805.11.21_TheDerbyMercury_0004,1805.11.18_CaledonianMercury_0002
1805.11.21_Trewman'sExeterFlyingPost_0001,1805.11.18_CaledonianMercury_0002
1805.11.23_Cobbett'sWeeklyPoliticalRegister_0007,1805.11.13_TheMorningChronicle_0002
1805.11.23_Cobbett'sWeeklyPoliticalRegister_0015,1805.11.21_CaledonianMercury_0002
1805.11.23_Cobbett'sWeeklyPoliticalRegister_0017,1805.11.21_CaledonianMercury_0002
1805.11.23_Jackson'sOxfordJournal_0002,1805.11.20_TheMorningChronicle_0003
1805.11.23_Jackson'sOxfordJournal_0004,1805.11.21_CaledonianMercury_0004
1805.11.23_TheIpswichJournal_0001,1805.11.21_CaledonianMercury_0002
1805.11.23_TheIpswichJournal_0004,1805.11.21_TheDerbyMercury_0004
1805.11.23_TheNewcastleCourantetc_0002,1805.11.21_CaledonianMercury_0002
1805.11.25_CaledonianMercury_0002,1805.11.22_TheMorningChronicle_0003
1805.11.25_CaledonianMercury_0003,1805.11.23_Jackson'sOxfordJournal_0002
1805.11.25_HampshireTelegraphandSussexChronicleetc_0002,1805.11.23_Jackson'sOxfordJournal_0002
1805.11.25_HampshireTelegraphandSussexChronicleetc_0004,1805.11.23_Jackson'sOxfordJournal_0002
1805.11.26_TheHullPacket_0002,1805.11.23_Jackson'sOxfordJournal_0002
1805.11.26_TheHullPacket_0003,1805.11.23_Jackson'sOxfordJournal_0002
1805.11.26_TheHullPacket_0004,1805.11.23_TheNewcastleCourantetc_0002
1805.11.27_TheAberdeenJournal_0002,1805.11.18_HampshireTelegraphandSussexChronicleetc_0003
