1812.12.03_CaledonianMercury_0003,1812.12.01_TheMorningChronicle_0001
1812.12.04_LiverpoolMercuryetc_0002,1812.12.03_CaledonianMercury_0003
1812.12.05_Cobbett'sWeeklyPoliticalRegister_0009,1812.12.03_TheDerbyMercury_0001
1812.12.05_Cobbett'sWeeklyPoliticalRegister_0011,1812.12.04_TheMorningChronicle_0001
1812.12.05_Cobbett'sWeeklyPoliticalRegister_0014,1812.12.03_TheDerbyMercury_0001
1812.12.05_Cobbett'sWeeklyPoliticalRegister_0015,1812.12.03_CaledonianMercury_0002
1812.12.05_Jackson'sOxfordJournal_0002,1812.12.04_TheMorningChronicle_0001
1812.12.05_Jackson'sOxfordJournal_0003,1812.12.02_TheMorningChronicle_0002
1812.12.05_TheIpswichJournal_0002,1812.12.04_TheMorningChronicle_0001
1812.12.06_TheExaminer_0009,1812.12.04_TheMorningChronicle_0001
1812.12.06_TheExaminer_0010,1812.12.04_TheMorningChronicle_0001
1812.12.07_CaledonianMercury_0002,1812.12.04_TheMorningChronicle_0001
1812.12.07_CaledonianMercury_0003,1812.12.05_TheMorningChronicle_0002
