1824.05.03_CaledonianMercury_0002,1824.05.01_TheMorningChronicle_0002
1824.05.04_TheMorningChronicle_0004,1824.05.03_CaledonianMercury_0003
1824.05.05_TheAberdeenJournal_0004,1824.05.03_CaledonianMercury_0002
1824.05.05_TheDerbyMercury_0002,1824.05.03_TheMorningChronicle_0002
1824.05.05_TheDerbyMercury_0004,1824.05.01_TheNewcastleCourantetc_0002
1824.05.06_CaledonianMercury_0002,1824.05.03_TheMorningChronicle_0002
1824.05.06_CaledonianMercury_0003,1824.05.04_TheMorningChronicle_0004
1824.05.06_CaledonianMercury_0004,1824.05.05_TheDerbyMercury_0004
1824.05.06_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1824.05.05_TheDerbyMercury_0001
1824.05.06_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1824.05.05_TheDerbyMercury_0002
1824.05.07_LiverpoolMercuryetc_0002,1824.05.05_TheDerbyMercury_0002
1824.05.07_LiverpoolMercuryetc_0006,1824.05.04_TheMorningChronicle_0004
1824.05.08_CaledonianMercury_0002,1824.05.05_TheMorningChronicle_0003
1824.05.08_TheIpswichJournal_0002,1824.05.03_CaledonianMercury_0003
1824.05.08_TheIpswichJournal_0004,1824.05.05_TheMorningChronicle_0004
1824.05.08_TheLeedsMercury_0002,1824.05.02_TheExaminer_0006
1824.05.08_TheNewcastleCourantetc_0002,1824.05.03_CaledonianMercury_0002
1824.05.09_TheExaminer_0002,1824.05.05_TheMorningChronicle_0004
1824.05.10_CaledonianMercury_0002,1824.05.07_TheMorningChronicle_0004
1824.05.10_HampshireTelegraphandSussexChronicleetc_0002,1824.05.04_TheMorningChronicle_0004
1824.05.10_TheBristolMercury_0001,1824.05.04_TheMorningChronicle_0004
1824.05.10_TheBristolMercury_0002,1824.05.07_TheMorningChronicle_0001
1824.05.10_TheBristolMercury_0004,1824.05.06_CaledonianMercury_0002
1824.05.12_TheAberdeenJournal_0004,1824.05.03_CaledonianMercury_0003
1824.05.12_TheDerbyMercury_0002,1824.05.10_TheMorningChronicle_0003
1824.05.13_CaledonianMercury_0002,1824.05.12_TheDerbyMercury_0002
1824.05.13_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1824.05.12_TheDerbyMercury_0002
1824.05.13_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1824.05.10_CaledonianMercury_0002
1824.05.14_LiverpoolMercuryetc_0002,1824.05.07_TheMorningChronicle_0001
1824.05.14_LiverpoolMercuryetc_0003,1824.05.13_CaledonianMercury_0002
1824.05.14_LiverpoolMercuryetc_0006,1824.05.11_TheMorningChronicle_0003
1824.05.15_Cobbett'sWeeklyPoliticalRegister_0004,1824.05.06_TheMorningChronicle_0002
1824.05.15_Cobbett'sWeeklyPoliticalRegister_0016,1824.05.12_TheMorningChronicle_0001
1824.05.15_Cobbett'sWeeklyPoliticalRegister_0018,1824.05.12_TheMorningChronicle_0002
1824.05.15_Cobbett'sWeeklyPoliticalRegister_0019,1824.05.12_TheMorningChronicle_0002
1824.05.15_Cobbett'sWeeklyPoliticalRegister_0020,1824.05.12_TheMorningChronicle_0002
1824.05.15_Cobbett'sWeeklyPoliticalRegister_0021,1824.05.12_TheMorningChronicle_0002
1824.05.15_Cobbett'sWeeklyPoliticalRegister_0022,1824.05.12_TheMorningChronicle_0002
1824.05.15_Cobbett'sWeeklyPoliticalRegister_0026,1824.05.12_TheDerbyMercury_0004
1824.05.15_TheNewcastleCourantetc_0002,1824.05.07_TheMorningChronicle_0004
1824.05.16_TheExaminer_0005,1824.05.12_TheMorningChronicle_0002
1824.05.16_TheExaminer_0006,1824.05.12_TheMorningChronicle_0004
1824.05.16_TheExaminer_0007,1824.05.15_CaledonianMercury_0002
1824.05.16_TheExaminer_0011,1824.05.15_TheMorningChronicle_0002
1824.05.16_TheExaminer_0013,1824.05.11_TheMorningChronicle_0004
1824.05.17_CaledonianMercury_0002,1824.05.16_TheExaminer_0009
1824.05.17_HampshireTelegraphandSussexChronicleetc_0002,1824.05.15_CaledonianMercury_0004
1824.05.17_HampshireTelegraphandSussexChronicleetc_0004,1824.05.15_TheMorningChronicle_0002
1824.05.17_TheBristolMercury_0004,1824.05.11_TheMorningChronicle_0002
1824.05.19_TheDerbyMercury_0001,1824.05.17_TheBristolMercury_0002
1824.05.19_TheDerbyMercury_0002,1824.05.15_TheMorningChronicle_0002
1824.05.19_TheDerbyMercury_0004,1824.05.12_TheMorningChronicle_0003
1824.05.20_CaledonianMercury_0002,1824.05.15_TheMorningChronicle_0004
1824.05.20_CaledonianMercury_0004,1824.05.15_TheMorningChronicle_0002
1824.05.20_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1824.05.19_TheDerbyMercury_0004
1824.05.20_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1824.05.12_TheDerbyMercury_0002
1824.05.21_LiverpoolMercuryetc_0002,1824.05.20_CaledonianMercury_0002
1824.05.21_LiverpoolMercuryetc_0006,1824.05.16_TheExaminer_0011
1824.05.22_CaledonianMercury_0002,1824.05.19_TheMorningChronicle_0002
1824.05.22_TheIpswichJournal_0001,1824.05.13_TheMorningChronicle_0003
1824.05.22_TheIpswichJournal_0003,1824.05.19_TheDerbyMercury_0001
1824.05.22_TheIpswichJournal_0004,1824.05.15_TheMorningChronicle_0002
1824.05.22_TheLeedsMercury_0002,1824.05.19_TheMorningChronicle_0001
1824.05.22_TheNewcastleCourantetc_0002,1824.05.15_TheMorningChronicle_0004
1824.05.22_TheNewcastleCourantetc_0003,1824.05.12_TheDerbyMercury_0001
1824.05.23_TheExaminer_0002,1824.05.18_TheMorningChronicle_0003
1824.05.23_TheExaminer_0005,1824.05.22_TheIpswichJournal_0004
1824.05.24_CaledonianMercury_0002,1824.05.21_TheMorningChronicle_0003
1824.05.24_TheBristolMercury_0004,1824.05.20_CaledonianMercury_0002
1824.05.26_TheDerbyMercury_0001,1824.05.15_TheLeedsMercury_0004
1824.05.26_TheDerbyMercury_0002,1824.05.22_CaledonianMercury_0002
1824.05.27_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1824.05.24_CaledonianMercury_0002
1824.05.28_LiverpoolMercuryetc_0008,1824.05.26_TheDerbyMercury_0004
1824.05.29_Cobbett'sWeeklyPoliticalRegister_0004,1824.05.14_LiverpoolMercuryetc_0002
1824.05.29_Cobbett'sWeeklyPoliticalRegister_0005,1824.05.07_TheMorningChronicle_0002
1824.05.29_Cobbett'sWeeklyPoliticalRegister_0007,1824.05.07_TheMorningChronicle_0002
1824.05.29_Cobbett'sWeeklyPoliticalRegister_0008,1824.05.07_TheMorningChronicle_0002
1824.05.29_Cobbett'sWeeklyPoliticalRegister_0026,1824.05.26_TheDerbyMercury_0004
1824.05.29_TheIpswichJournal_0001,1824.05.26_TheDerbyMercury_0002
1824.05.29_TheIpswichJournal_0004,1824.05.26_TheDerbyMercury_0004
1824.05.29_TheLeedsMercury_0004,1824.05.22_TheMorningChronicle_0002
1824.05.29_TheNewcastleCourantetc_0002,1824.05.22_TheMorningChronicle_0001
1824.05.30_TheExaminer_0013,1824.05.26_TheDerbyMercury_0002
1824.05.31_CaledonianMercury_0002,1824.05.30_TheExaminer_0002
1824.05.31_HampshireTelegraphandSussexChronicleetc_0002,1824.05.29_TheIpswichJournal_0004
1824.05.31_TheBristolMercury_0001,1824.05.30_TheExaminer_0005
1824.05.31_TheBristolMercury_0004,1824.05.26_TheDerbyMercury_0004
1824.06.02_TheAberdeenJournal_0002,1824.05.26_TheDerbyMercury_0002
1824.06.02_TheDerbyMercury_0001,1824.05.29_TheIpswichJournal_0003
1824.06.02_TheDerbyMercury_0002,1824.05.27_TheMorningChronicle_0003
1824.06.03_CaledonianMercury_0002,1824.05.31_TheMorningChronicle_0003
1824.06.03_CaledonianMercury_0004,1824.05.18_TheMorningChronicle_0003
1824.06.04_LiverpoolMercuryetc_0001,1824.05.20_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1824.06.04_LiverpoolMercuryetc_0006,1824.05.31_TheMorningChronicle_0003
1824.06.04_TheMorningChronicle_0003,1824.05.23_TheExaminer_0014
1824.06.05_Cobbett'sWeeklyPoliticalRegister_0004,1824.05.25_TheMorningChronicle_0002
1824.06.05_Cobbett'sWeeklyPoliticalRegister_0005,1824.05.25_TheMorningChronicle_0002
1824.06.05_Cobbett'sWeeklyPoliticalRegister_0008,1824.05.25_TheMorningChronicle_0002
1824.06.05_Cobbett'sWeeklyPoliticalRegister_0009,1824.05.25_TheMorningChronicle_0002
1824.06.05_Cobbett'sWeeklyPoliticalRegister_0012,1824.05.25_TheMorningChronicle_0002
1824.06.05_TheIpswichJournal_0004,1824.05.31_TheMorningChronicle_0003
1824.06.05_TheNewcastleCourantetc_0002,1824.05.31_TheMorningChronicle_0002
1824.06.06_TheExaminer_0001,1824.05.26_TheDerbyMercury_0004
1824.06.06_TheExaminer_0002,1824.05.26_TheDerbyMercury_0004
1824.06.07_TheMorningChronicle_0002,1824.05.28_LiverpoolMercuryetc_0007
1824.06.10_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1824.05.13_CaledonianMercury_0003
1824.06.12_TheIpswichJournal_0001,1824.05.15_TheLeedsMercury_0004
1824.06.12_TheLeedsMercury_0004,1824.05.13_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1824.06.16_TheAberdeenJournal_0004,1824.05.31_CaledonianMercury_0004
1824.06.17_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1824.05.26_TheDerbyMercury_0001
1824.06.19_Cobbett'sWeeklyPoliticalRegister_0010,1824.05.17_TheMorningChronicle_0003
1824.06.19_Cobbett'sWeeklyPoliticalRegister_0011,1824.05.17_TheMorningChronicle_0003
1824.06.19_Cobbett'sWeeklyPoliticalRegister_0012,1824.05.17_TheMorningChronicle_0003
1824.06.19_Cobbett'sWeeklyPoliticalRegister_0016,1824.05.18_TheMorningChronicle_0004
1824.06.19_Cobbett'sWeeklyPoliticalRegister_0017,1824.05.18_TheMorningChronicle_0004
1824.06.19_Cobbett'sWeeklyPoliticalRegister_0018,1824.05.18_TheMorningChronicle_0004
1824.06.19_Cobbett'sWeeklyPoliticalRegister_0019,1824.05.18_TheMorningChronicle_0004
1824.06.19_Cobbett'sWeeklyPoliticalRegister_0020,1824.05.18_TheMorningChronicle_0004
1824.06.19_TheNewcastleCourantetc_0003,1824.05.26_TheDerbyMercury_0001
1824.07.01_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1824.05.17_HampshireTelegraphandSussexChronicleetc_0002
1824.07.03_CaledonianMercury_0001,1824.05.12_TheAberdeenJournal_0001
1824.07.03_TheNewcastleCourantetc_0003,1824.05.15_TheLeedsMercury_0004
1824.07.10_TheNewcastleCourantetc_0003,1824.05.15_TheLeedsMercury_0004
1824.07.16_LiverpoolMercuryetc_0003,1824.05.15_TheLeedsMercury_0004
1824.07.28_TheDerbyMercury_0001,1824.05.15_TheLeedsMercury_0004
1824.08.05_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1824.05.26_TheDerbyMercury_0001
1824.08.07_TheIpswichJournal_0001,1824.05.20_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1824.08.07_TheNewcastleCourantetc_0003,1824.05.15_TheLeedsMercury_0004
1824.08.28_TheNewcastleCourantetc_0003,1824.05.15_TheLeedsMercury_0004
1824.09.01_TheDerbyMercury_0001,1824.05.15_TheLeedsMercury_0004
1824.09.22_TheDerbyMercury_0001,1824.05.15_TheLeedsMercury_0004
1824.09.25_TheLeedsMercury_0004,1824.05.26_TheDerbyMercury_0001
1824.10.06_TheDerbyMercury_0002,1824.05.15_TheLeedsMercury_0004
1824.10.16_TheLeedsMercury_0004,1824.05.26_TheDerbyMercury_0001
1824.11.26_LiverpoolMercuryetc_0007,1824.05.15_TheLeedsMercury_0004
