1882.12.02_AberdeenWeeklyJournal_0003,1882.12.01_Freeman'sJournalandDailyCommercialAdvertiser_0005
1882.12.02_AberdeenWeeklyJournal_0004,1882.12.01_LiverpoolMercuryetc_0008
1882.12.02_BirminghamDailyPost_0006,1882.12.01_DailyNews_0007
1882.12.02_BirminghamDailyPost_0007,1882.12.01_TheHullPacketandEastRidingTimes_0002
1882.12.02_BirminghamDailyPost_0008,1882.12.01_ThePallMallGazette_0008
1882.12.02_Freeman'sJournalandDailyCommercialAdvertiser_0008,1882.12.01_ThePallMallGazette_0016
1882.12.02_GlasgowHerald_0006,1882.12.01_DailyNews_0005
1882.12.02_HampshireTelegraphandSussexChronicleetc_0007,1882.12.01_TheHullPacketandEastRidingTimes_0002
1882.12.02_Jackson'sOxfordJournal_0002,1882.12.01_TheHullPacketandEastRidingTimes_0002
1882.12.02_Jackson'sOxfordJournal_0008,1882.12.01_TheBristolMercuryandDailyPost_0007
1882.12.02_LiverpoolMercuryetc_0003,1882.12.01_TheBelfastNews-Letter_0006
1882.12.02_LiverpoolMercuryetc_0007,1882.12.01_TheBristolMercuryandDailyPost_0008
1882.12.02_LiverpoolMercuryetc_0008,1882.12.01_GlasgowHerald_0005
1882.12.02_TheBristolMercuryandDailyPost_0002,1882.12.01_TheHullPacketandEastRidingTimes_0001
1882.12.02_TheBristolMercuryandDailyPost_0006,1882.12.01_DailyNews_0005
1882.12.02_TheBristolMercuryandDailyPost_0007,1882.12.01_TheHullPacketandEastRidingTimes_0002
1882.12.02_TheBristolMercuryandDailyPost_0008,1882.12.01_ThePallMallGazette_0008
1882.12.02_TheBristolMercuryandDailyPost_S0001,1882.12.01_TheBelfastNews-Letter_0005
1882.12.02_TheBristolMercuryandDailyPost_S0002,1882.12.01_LiverpoolMercuryetc_0006
1882.12.02_TheBristolMercuryandDailyPost_S0003,1882.12.01_AberdeenWeeklyJournal_0005
1882.12.02_TheBristolMercuryandDailyPost_S0007,1882.12.01_LiverpoolMercuryetc_0008
1882.12.02_TheGraphic_0015,1882.12.01_Freeman'sJournalandDailyCommercialAdvertiser_0002
1882.12.02_TheIpswichJournal_0003,1882.12.01_TheHullPacketandEastRidingTimes_0004
1882.12.02_TheIpswichJournal_0006,1882.12.01_ThePallMallGazette_0011
1882.12.02_WesternMail_0004,1882.12.01_LiverpoolMercuryetc_0008
1882.12.03_Lloyd'sWeeklyNewspaper_0001,1882.12.02_TheBristolMercuryandDailyPost_S0005
1882.12.03_Lloyd'sWeeklyNewspaper_0003,1882.12.02_TheIllustratedPoliceNewsetc_0003
1882.12.03_Lloyd'sWeeklyNewspaper_0007,1882.12.02_TheIpswichJournal_0007
