1824.01.03_CaledonianMercury_0002,1824.01.01_TheMorningChronicle_0002
1824.01.03_TheIpswichJournal_0003,1824.01.01_TheMorningChronicle_0001
1824.01.03_TheIpswichJournal_0004,1824.01.01_CaledonianMercury_0002
1824.01.03_TheNewcastleCourantetc_0002,1824.01.01_CaledonianMercury_0002
1824.01.03_TheNewcastleCourantetc_0003,1824.01.01_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1824.01.04_TheExaminer_0013,1824.01.02_TheMorningChronicle_0003
1824.01.04_TheExaminer_0014,1824.01.03_TheIpswichJournal_0001
1824.01.04_TheExaminer_0015,1824.01.02_TheMorningChronicle_0003
1824.01.05_CaledonianMercury_0004,1824.01.03_TheIpswichJournal_0004
1824.01.05_TheBristolMercury_0001,1824.01.03_CaledonianMercury_0002
1824.01.05_TheBristolMercury_0004,1824.01.04_TheExaminer_0014
1824.01.07_TheDerbyMercury_0002,1824.01.02_TheMorningChronicle_0003
1824.01.07_TheDerbyMercury_0004,1824.01.01_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1824.01.08_CaledonianMercury_0002,1824.01.05_TheMorningChronicle_0002
1824.01.08_CaledonianMercury_0004,1824.01.05_TheMorningChronicle_0001
1824.01.08_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1824.01.05_TheMorningChronicle_0002
1824.01.08_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1824.01.07_TheDerbyMercury_0002
1824.01.08_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1824.01.02_TheMorningChronicle_0002
1824.01.10_CaledonianMercury_0004,1824.01.05_TheMorningChronicle_0004
1824.01.10_TheIpswichJournal_0001,1824.01.07_TheDerbyMercury_0001
1824.01.10_TheIpswichJournal_0002,1824.01.08_TheMorningChronicle_0004
1824.01.10_TheIpswichJournal_0003,1824.01.08_TheMorningChronicle_0001
1824.01.10_TheIpswichJournal_0004,1824.01.07_TheMorningChronicle_S0002
1824.01.10_TheLeedsMercury_0004,1824.01.07_TheDerbyMercury_0002
1824.01.10_TheMorningChronicle_0003,1824.01.08_CaledonianMercury_0002
1824.01.10_TheNewcastleCourantetc_0002,1824.01.07_TheDerbyMercury_0002
1824.01.10_TheNewcastleCourantetc_0003,1824.01.08_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1824.01.11_TheExaminer_0002,1824.01.07_TheMorningChronicle_S0002
1824.01.11_TheExaminer_0005,1824.01.08_TheMorningChronicle_0003
1824.01.11_TheExaminer_0013,1824.01.10_CaledonianMercury_0004
1824.01.11_TheExaminer_0015,1824.01.10_TheIpswichJournal_0001
1824.01.11_TheExaminer_0016,1824.01.06_TheMorningChronicle_0001
1824.01.12_CaledonianMercury_0002,1824.01.11_TheExaminer_0006
1824.01.12_CaledonianMercury_0003,1824.01.08_TheMorningChronicle_0001
1824.01.12_CaledonianMercury_0004,1824.01.06_TheMorningChronicle_0001
1824.01.12_HampshireTelegraphandSussexChronicleetc_0002,1824.01.11_TheExaminer_0002
1824.01.12_HampshireTelegraphandSussexChronicleetc_0003,1824.01.10_TheIpswichJournal_0003
1824.01.12_HampshireTelegraphandSussexChronicleetc_0004,1824.01.11_TheExaminer_0007
1824.01.12_TheBristolMercury_0001,1824.01.02_TheMorningChronicle_0003
1824.01.12_TheBristolMercury_0002,1824.01.08_TheMorningChronicle_0004
1824.01.12_TheBristolMercury_0004,1824.01.07_TheMorningChronicle_S0002
1824.01.14_TheAberdeenJournal_0004,1824.01.03_CaledonianMercury_0002
1824.01.14_TheDerbyMercury_0002,1824.01.10_TheMorningChronicle_0003
1824.01.14_TheDerbyMercury_0004,1824.01.10_TheIpswichJournal_0004
1824.01.15_CaledonianMercury_0001,1824.01.10_TheIpswichJournal_0001
1824.01.15_CaledonianMercury_0002,1824.01.11_TheExaminer_0007
1824.01.15_CaledonianMercury_0003,1824.01.12_TheMorningChronicle_0002
1824.01.15_CaledonianMercury_0004,1824.01.11_TheExaminer_0012
1824.01.15_TheMorningChronicle_0003,1824.01.12_CaledonianMercury_0003
