1821.05.03_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1821.05.02_TheAberdeenJournal_0004
1821.05.04_LiverpoolMercuryetc_0002,1821.05.03_CaledonianMercury_0002
1821.05.05_Jackson'sOxfordJournal_0001,1821.05.03_CaledonianMercury_0002
1821.05.05_Jackson'sOxfordJournal_0004,1821.05.03_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1821.05.05_TheBristolMercury_0001,1821.05.03_CaledonianMercury_0002
1821.05.05_TheBristolMercury_0004,1821.05.04_LiverpoolMercuryetc_0006
1821.05.05_TheIpswichJournal_0004,1821.05.03_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1821.05.07_CaledonianMercury_0004,1821.05.05_TheIpswichJournal_0004
1821.05.07_GlasgowHerald_0001,1821.05.05_CaledonianMercury_0002
1821.05.08_Freeman'sJournalandDailyCommercialAdvertiser_0003,1821.05.07_CaledonianMercury_0002
1821.05.08_Freeman'sJournalandDailyCommercialAdvertiser_0004,1821.05.07_CaledonianMercury_0002
1821.05.09_TheAberdeenJournal_0002,1821.05.03_CaledonianMercury_0002
1821.05.10_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1821.05.07_CaledonianMercury_0002
1821.05.11_Freeman'sJournalandDailyCommercialAdvertiser_0003,1821.05.10_CaledonianMercury_0002
1821.05.11_GlasgowHerald_0002,1821.05.10_CaledonianMercury_0003
1821.05.12_Jackson'sOxfordJournal_0001,1821.05.10_CaledonianMercury_0002
1821.05.12_Jackson'sOxfordJournal_0002,1821.05.05_TheLeedsMercury_0004
1821.05.12_Jackson'sOxfordJournal_0004,1821.05.10_CaledonianMercury_0002
1821.05.12_TheBristolMercury_0004,1821.05.10_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1821.05.13_TheExaminer_0009,1821.05.12_Freeman'sJournalandDailyCommercialAdvertiser_0003
1821.05.13_TheExaminer_0010,1821.05.12_TheLeedsMercury_0002
1821.05.14_GlasgowHerald_0001,1821.05.12_CaledonianMercury_0003
1821.05.14_GlasgowHerald_0004,1821.05.12_Jackson'sOxfordJournal_0002
1821.05.16_Freeman'sJournalandDailyCommercialAdvertiser_0004,1821.05.14_CaledonianMercury_0002
1821.05.16_TheAberdeenJournal_0002,1821.05.10_CaledonianMercury_0002
1821.05.16_TheAberdeenJournal_0004,1821.05.10_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1821.05.17_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1821.05.12_Jackson'sOxfordJournal_0002
1821.05.18_GlasgowHerald_0001,1821.05.13_TheExaminer_0007
1821.05.18_LiverpoolMercuryetc_0002,1821.05.14_CaledonianMercury_0002
1821.05.19_Jackson'sOxfordJournal_0004,1821.05.17_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1821.05.19_TheLeedsMercury_0002,1821.05.13_TheExaminer_0007
1821.05.19_TheLeedsMercury_0004,1821.05.12_Jackson'sOxfordJournal_0002
1821.05.20_TheExaminer_0003,1821.05.19_Freeman'sJournalandDailyCommercialAdvertiser_0003
1821.05.20_TheExaminer_0004,1821.05.18_LiverpoolMercuryetc_0008
