1825.03.04_LiverpoolMercuryetc_0005,1825.03.03_CaledonianMercury_0001
1825.03.04_LiverpoolMercuryetc_0006,1825.03.03_CaledonianMercury_0003
1825.03.05_Cobbett'sWeeklyPoliticalRegister_0028,1825.03.04_LiverpoolMercuryetc_0007
1825.03.05_TheIpswichJournal_0002,1825.03.02_TheMorningChronicle_0004
1825.03.05_TheIpswichJournal_0004,1825.03.01_TheMorningChronicle_0003
1825.03.06_TheExaminer_0004,1825.03.02_TheMorningChronicle_0003
1825.03.06_TheExaminer_0006,1825.03.01_TheMorningChronicle_0002
1825.03.06_TheExaminer_0011,1825.03.01_TheMorningChronicle_0003
1825.03.06_TheExaminer_0012,1825.03.02_TheMorningChronicle_0004
1825.03.06_TheExaminer_0013,1825.03.03_TheMorningChronicle_0001
1825.03.06_TheExaminer_0016,1825.03.04_LiverpoolMercuryetc_0003
1825.03.07_HampshireTelegraphandSussexChronicleetc_0002,1825.03.05_TheIpswichJournal_0004
1825.03.07_HampshireTelegraphandSussexChronicleetc_0003,1825.03.03_TheMorningChronicle_0002
1825.03.07_TheBristolMercury_0001,1825.03.06_TheExaminer_0004
1825.03.07_TheBristolMercury_0003,1825.03.01_TheMorningChronicle_0003
1825.03.09_TheDerbyMercury_0001,1825.03.04_LiverpoolMercuryetc_0003
1825.03.09_TheDerbyMercury_0002,1825.03.08_TheMorningChronicle_0003
1825.03.09_TheDerbyMercury_0004,1825.03.05_TheIpswichJournal_0002
1825.03.10_CaledonianMercury_0001,1825.03.09_TheDerbyMercury_0001
1825.03.10_CaledonianMercury_0002,1825.03.08_TheMorningChronicle_0003
1825.03.10_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1825.03.07_TheBristolMercury_0001
1825.03.11_LiverpoolMercuryetc_0002,1825.03.09_TheDerbyMercury_0004
1825.03.11_LiverpoolMercuryetc_0006,1825.03.10_CaledonianMercury_0002
1825.03.12_CaledonianMercury_0002,1825.03.09_TheMorningChronicle_0002
1825.03.12_CaledonianMercury_0004,1825.03.08_TheMorningChronicle_0004
1825.03.12_TheIpswichJournal_0001,1825.03.07_HampshireTelegraphandSussexChronicleetc_0001
1825.03.12_TheIpswichJournal_0002,1825.03.10_TheMorningChronicle_0003
1825.03.12_TheIpswichJournal_0004,1825.03.10_CaledonianMercury_0002
1825.03.12_TheLeedsMercury_0004,1825.03.08_TheMorningChronicle_0002
1825.03.14_HampshireTelegraphandSussexChronicleetc_0001,1825.03.09_TheMorningChronicle_0002
1825.03.14_HampshireTelegraphandSussexChronicleetc_0002,1825.03.08_TheMorningChronicle_0003
1825.03.14_HampshireTelegraphandSussexChronicleetc_0003,1825.03.12_CaledonianMercury_0002
1825.03.14_TheBristolMercury_0001,1825.03.12_CaledonianMercury_0002
1825.03.14_TheBristolMercury_0004,1825.03.12_TheIpswichJournal_0002
1825.03.16_TheAberdeenJournal_0002,1825.03.12_CaledonianMercury_0002
1825.03.16_TheDerbyMercury_0004,1825.03.15_TheMorningChronicle_0003
1825.03.17_CaledonianMercury_0002,1825.03.15_TheMorningChronicle_0002
1825.03.17_CaledonianMercury_0004,1825.03.14_TheMorningChronicle_0002
1825.03.17_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1825.03.11_LiverpoolMercuryetc_0003
1825.03.17_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1825.03.12_CaledonianMercury_0002
1825.03.18_LiverpoolMercuryetc_0002,1825.03.13_TheExaminer_0004
1825.03.18_LiverpoolMercuryetc_0003,1825.03.12_CaledonianMercury_0004
1825.03.19_Cobbett'sWeeklyPoliticalRegister_0004,1825.03.14_TheMorningChronicle_0002
1825.03.19_TheIpswichJournal_0004,1825.03.14_TheMorningChronicle_0003
1825.03.19_TheLeedsMercury_0002,1825.03.13_TheExaminer_0005
1825.03.19_TheLeedsMercury_0004,1825.03.14_TheMorningChronicle_0002
1825.03.20_TheExaminer_0003,1825.03.15_TheMorningChronicle_0004
1825.03.21_CaledonianMercury_0002,1825.03.18_TheMorningChronicle_0004
1825.03.21_HampshireTelegraphandSussexChronicleetc_0002,1825.03.16_TheDerbyMercury_0002
1825.03.21_TheBristolMercury_0001,1825.03.20_TheExaminer_0005
1825.03.21_TheBristolMercury_0004,1825.03.19_TheMorningChronicle_0004
1825.03.21_TheMorningChronicle_0003,1825.03.19_TheLeedsMercury_0003
1825.03.23_TheAberdeenJournal_0004,1825.03.07_CaledonianMercury_0004
1825.03.24_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1825.03.16_TheDerbyMercury_0002
1825.03.25_LiverpoolMercuryetc_0008,1825.03.22_TheMorningChronicle_0003
1825.03.26_Cobbett'sWeeklyPoliticalRegister_0002,1825.03.22_TheMorningChronicle_0004
1825.03.26_Cobbett'sWeeklyPoliticalRegister_0003,1825.03.22_TheMorningChronicle_0004
1825.03.26_Cobbett'sWeeklyPoliticalRegister_0004,1825.03.22_TheMorningChronicle_0004
1825.03.26_Cobbett'sWeeklyPoliticalRegister_0014,1825.03.21_TheMorningChronicle_0002
1825.03.26_TheIpswichJournal_0002,1825.03.24_TheMorningChronicle_0004
1825.03.26_TheIpswichJournal_0004,1825.03.22_TheMorningChronicle_0002
1825.03.26_TheLeedsMercury_0002,1825.03.21_HampshireTelegraphandSussexChronicleetc_0004
1825.03.26_TheNewcastleCourantetc_0002,1825.03.21_CaledonianMercury_0002
1825.03.28_CaledonianMercury_0001,1825.03.25_LiverpoolMercuryetc_0003
1825.03.28_HampshireTelegraphandSussexChronicleetc_0002,1825.03.23_TheMorningChronicle_0002
1825.03.28_HampshireTelegraphandSussexChronicleetc_0003,1825.03.22_TheMorningChronicle_0004
1825.03.30_TheAberdeenJournal_0004,1825.03.26_TheNewcastleCourantetc_0004
1825.03.30_TheDerbyMercury_0001,1825.03.06_TheExaminer_0013
1825.03.30_TheDerbyMercury_0004,1825.03.26_TheIpswichJournal_0002
1825.03.30_TheMorningChronicle_0001,1825.03.28_HampshireTelegraphandSussexChronicleetc_0001
1825.04.01_LiverpoolMercuryetc_0002,1825.03.26_TheMorningChronicle_0001
1825.04.01_LiverpoolMercuryetc_0003,1825.03.28_CaledonianMercury_0001
1825.04.02_TheIpswichJournal_0002,1825.03.30_TheMorningChronicle_0004
1825.04.02_TheIpswichJournal_0004,1825.03.26_TheMorningChronicle_0003
1825.04.04_CaledonianMercury_0002,1825.03.21_TheMorningChronicle_0002
1825.04.04_CaledonianMercury_0004,1825.03.24_TheMorningChronicle_0004
1825.04.06_TheAberdeenJournal_0002,1825.03.28_CaledonianMercury_0002
1825.04.06_TheDerbyMercury_0001,1825.03.26_TheIpswichJournal_0003
1825.04.09_CaledonianMercury_0003,1825.03.18_LiverpoolMercuryetc_0003
