1816.01.04_CaledonianMercury_0002,1816.01.02_TheMorningChronicle_0002
1816.01.06_CaledonianMercury_0003,1816.01.04_TheMorningChronicle_0003
1816.01.06_CaledonianMercury_0004,1816.01.05_TheMorningChronicle_0002
1816.01.06_Jackson'sOxfordJournal_0002,1816.01.04_TheMorningChronicle_0003
1816.01.06_TheIpswichJournal_0004,1816.01.04_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1816.01.06_TheLeedsMercury_0003,1816.01.04_TheMorningChronicle_0002
1816.01.07_TheExaminer_0006,1816.01.04_TheMorningChronicle_0002
1816.01.08_CaledonianMercury_0002,1816.01.04_TheMorningChronicle_0002
1816.01.11_CaledonianMercury_0002,1816.01.08_TheMorningChronicle_0002
1816.01.11_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1816.01.06_CaledonianMercury_0004
1816.01.11_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1816.01.04_TheMorningChronicle_0003
1816.01.13_CaledonianMercury_0004,1816.01.08_TheMorningChronicle_0003
1816.01.13_Cobbett'sWeeklyPoliticalRegister_0013,1816.01.06_CaledonianMercury_0004
1816.01.13_Cobbett'sWeeklyPoliticalRegister_0014,1816.01.11_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1816.01.13_Cobbett'sWeeklyPoliticalRegister_0015,1816.01.11_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1816.01.13_Cobbett'sWeeklyPoliticalRegister_0016,1816.01.05_TheMorningChronicle_0002
1816.01.13_TheIpswichJournal_0004,1816.01.08_TheMorningChronicle_0003
1816.01.14_TheExaminer_0004,1816.01.11_CaledonianMercury_0002
1816.01.14_TheExaminer_0005,1816.01.13_Cobbett'sWeeklyPoliticalRegister_0013
1816.01.15_CaledonianMercury_0004,1816.01.06_TheIpswichJournal_0002
1816.01.18_CaledonianMercury_0004,1816.01.12_TheMorningChronicle_0002
1816.01.18_TheMorningChronicle_0004,1816.01.13_CaledonianMercury_0004
1816.01.18_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1816.01.13_Jackson'sOxfordJournal_0002
1816.01.18_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1816.01.15_CaledonianMercury_0002
1816.01.19_LiverpoolMercuryetc_0002,1816.01.15_CaledonianMercury_0002
1816.01.19_LiverpoolMercuryetc_0003,1816.01.04_CaledonianMercury_0004
1816.01.19_LiverpoolMercuryetc_0008,1816.01.12_TheMorningChronicle_0002
1816.01.20_CaledonianMercury_0002,1816.01.17_TheMorningChronicle_0003
1816.01.20_CaledonianMercury_0003,1816.01.18_TheMorningChronicle_0002
1816.01.20_CaledonianMercury_0004,1816.01.12_TheMorningChronicle_0002
1816.01.20_Cobbett'sWeeklyPoliticalRegister_0015,1816.01.18_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1816.01.20_Cobbett'sWeeklyPoliticalRegister_0016,1816.01.18_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1816.01.20_TheLeedsMercury_0001,1816.01.11_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1816.01.20_TheLeedsMercury_0002,1816.01.17_TheMorningChronicle_0002
1816.01.20_TheLeedsMercury_0004,1816.01.19_LiverpoolMercuryetc_0003
1816.01.21_TheExaminer_0003,1816.01.11_CaledonianMercury_0003
1816.01.22_CaledonianMercury_0002,1816.01.18_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1816.01.25_CaledonianMercury_0002,1816.01.23_TheMorningChronicle_0002
1816.01.25_TheDerbyMercury_0004,1816.01.20_CaledonianMercury_0002
1816.01.26_LiverpoolMercuryetc_0002,1816.01.25_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004
1816.01.26_LiverpoolMercuryetc_0003,1816.01.13_Cobbett'sWeeklyPoliticalRegister_0007
1816.01.27_CaledonianMercury_0002,1816.01.23_TheMorningChronicle_0003
1816.01.27_Cobbett'sWeeklyPoliticalRegister_0006,1816.01.18_TheMorningChronicle_0002
1816.01.27_Cobbett'sWeeklyPoliticalRegister_0012,1816.01.18_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1816.01.27_TheIpswichJournal_0004,1816.01.22_CaledonianMercury_0002
1816.01.27_TheLeedsMercury_0004,1816.01.20_Jackson'sOxfordJournal_0004
1816.01.29_CaledonianMercury_0002,1816.01.25_TheMorningChronicle_0002
