1815.01.05_CaledonianMercury_0002,1815.01.02_TheMorningChronicle_0002
1815.01.05_CaledonianMercury_0004,1815.01.03_TheMorningChronicle_0004
1815.01.07_CaledonianMercury_0002,1815.01.04_TheMorningChronicle_0002
1815.01.07_CaledonianMercury_0004,1815.01.02_TheMorningChronicle_0003
1815.01.07_TheIpswichJournal_0002,1815.01.03_TheMorningChronicle_0003
1815.01.07_TheIpswichJournal_0004,1815.01.02_TheMorningChronicle_0003
1815.01.08_TheExaminer_0002,1815.01.04_TheMorningChronicle_0002
1815.01.08_TheExaminer_0003,1815.01.04_TheMorningChronicle_0002
1815.01.08_TheExaminer_0008,1815.01.05_TheMorningChronicle_0003
1815.01.08_TheExaminer_0014,1815.01.05_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1815.01.09_CaledonianMercury_0002,1815.01.03_TheMorningChronicle_0003
1815.01.12_CaledonianMercury_0002,1815.01.09_TheMorningChronicle_0003
1815.01.12_CaledonianMercury_0004,1815.01.04_TheMorningChronicle_0002
1815.01.12_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1815.01.09_TheMorningChronicle_0003
1815.01.12_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1815.01.07_CaledonianMercury_0002
1815.01.12_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1815.01.04_TheMorningChronicle_0002
1815.01.13_LiverpoolMercuryetc_0002,1815.01.12_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002
1815.01.13_LiverpoolMercuryetc_0006,1815.01.02_TheMorningChronicle_0003
1815.01.14_CaledonianMercury_0002,1815.01.11_TheMorningChronicle_0002
1815.01.14_CaledonianMercury_0004,1815.01.11_TheMorningChronicle_0002
1815.01.14_TheIpswichJournal_0004,1815.01.12_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1815.01.15_TheExaminer_0012,1815.01.13_TheMorningChronicle_0003
1815.01.15_TheExaminer_0014,1815.01.14_TheMorningChronicle_0003
1815.01.15_TheExaminer_0015,1815.01.11_TheMorningChronicle_0003
1815.01.16_CaledonianMercury_0002,1815.01.13_TheMorningChronicle_0003
1815.01.16_HampshireTelegraphandSussexChronicleetc_0002,1815.01.14_Jackson'sOxfordJournal_0004
