1829.03.03_TheBelfastNews-Letter_0001,1829.03.02_CaledonianMercury_0002
1829.03.03_TheHullPacketandHumberMercury_0001,1829.03.02_HampshireTelegraphandSussexChronicleetc_0002
1829.03.03_TheHullPacketandHumberMercury_0004,1829.03.02_HampshireTelegraphandSussexChronicleetc_0002
1829.03.04_TheAberdeenJournal_0004,1829.03.03_TheBelfastNews-Letter_0004
1829.03.04_TheDerbyMercury_0001,1829.03.01_TheExaminer_0009
1829.03.05_CaledonianMercury_0002,1829.03.02_TheMorningChronicle_0003
1829.03.06_LiverpoolMercuryetc_0002,1829.03.01_TheExaminer_0010
1829.03.06_LiverpoolMercuryetc_0007,1829.03.04_TheDerbyMercury_0004
1829.03.06_TheBelfastNews-Letter_0001,1829.03.02_TheMorningChronicle_0003
1829.03.06_TheBelfastNews-Letter_0002,1829.03.04_TheDerbyMercury_0002
1829.03.07_TheLeedsMercury_0004,1829.03.03_TheMorningChronicle_0001
1829.03.07_TheManchesterTimes_0007,1829.03.04_TheMorningChronicle_0004
1829.03.07_TheNewcastleCourantetc_0004,1829.03.06_TheBelfastNews-Letter_0002
1829.03.08_TheExaminer_0002,1829.03.06_TheMorningChronicle_0004
1829.03.08_TheExaminer_0006,1829.03.06_TheMorningChronicle_0001
1829.03.08_TheExaminer_0013,1829.03.05_TheMorningChronicle_0004
1829.03.08_TheExaminer_0014,1829.03.04_TheMorningChronicle_0004
1829.03.09_CaledonianMercury_0002,1829.03.06_TheMorningChronicle_0002
1829.03.09_HampshireTelegraphandSussexChronicleetc_0002,1829.03.04_TheMorningChronicle_0004
1829.03.10_TheBelfastNews-Letter_0003,1829.03.09_CaledonianMercury_0001
1829.03.10_TheBelfastNews-Letter_0004,1829.03.06_TheMorningChronicle_0003
1829.03.10_TheBelfastNews-Letter_S0001,1829.03.09_CaledonianMercury_0002
1829.03.10_TheBristolMercury_0001,1829.03.03_TheMorningChronicle_0001
1829.03.10_TheBristolMercury_0004,1829.03.07_TheLeedsMercury_0002
1829.03.11_TheAberdeenJournal_0002,1829.03.10_TheBristolMercury_0001
1829.03.11_TheDerbyMercury_0001,1829.03.10_TheBristolMercury_0004
1829.03.11_TheDerbyMercury_0004,1829.03.10_TheBelfastNews-Letter_0004
1829.03.12_CaledonianMercury_0002,1829.03.07_TheMorningChronicle_0002
1829.03.12_NorthWalesChronicle_0001,1829.03.07_TheLeedsMercury_0002
1829.03.12_NorthWalesChronicle_0002,1829.03.08_TheExaminer_0007
1829.03.12_NorthWalesChronicle_0004,1829.03.04_TheMorningChronicle_0001
1829.03.12_TheMorningChronicle_0003,1829.03.08_TheExaminer_0007
1829.03.12_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004,1829.03.10_TheBristolMercury_0004
1829.03.13_LiverpoolMercuryetc_0002,1829.03.10_TheBelfastNews-Letter_0004
1829.03.13_LiverpoolMercuryetc_0005,1829.03.07_TheNewcastleCourantetc_0001
1829.03.13_LiverpoolMercuryetc_0007,1829.03.11_TheDerbyMercury_0004
1829.03.13_TheBelfastNews-Letter_0001,1829.03.07_TheMorningChronicle_0003
1829.03.14_TheLeedsMercury_0004,1829.03.08_TheExaminer_0008
1829.03.14_TheManchesterTimes_0002,1829.03.09_TheMorningChronicle_0002
1829.03.14_TheManchesterTimes_0003,1829.03.08_TheExaminer_0008
1829.03.14_TheManchesterTimes_0005,1829.03.11_TheMorningChronicle_0004
1829.03.14_TheManchesterTimes_0007,1829.03.13_LiverpoolMercuryetc_0003
1829.03.14_TheNewcastleCourantetc_0002,1829.03.12_TheMorningChronicle_0003
1829.03.14_TheNewcastleCourantetc_0003,1829.03.13_LiverpoolMercuryetc_0005
1829.03.15_TheExaminer_0004,1829.03.13_TheMorningChronicle_0003
1829.03.15_TheExaminer_0006,1829.03.13_TheMorningChronicle_0004
1829.03.15_TheExaminer_0010,1829.03.12_TheMorningChronicle_0002
1829.03.15_TheExaminer_0014,1829.03.11_TheMorningChronicle_0004
1829.03.16_TheMorningChronicle_0002,1829.03.14_Cobbett'sWeeklyPoliticalRegister_0014
1829.03.17_TheBelfastNews-Letter_0001,1829.03.12_TheMorningChronicle_0003
1829.03.17_TheBelfastNews-Letter_0002,1829.03.13_TheMorningChronicle_0003
1829.03.17_TheBelfastNews-Letter_0003,1829.03.09_CaledonianMercury_0001
1829.03.17_TheBelfastNews-Letter_0004,1829.03.12_TheMorningChronicle_0002
1829.03.17_TheBristolMercury_0001,1829.03.10_TheMorningChronicle_0001
1829.03.17_TheHullPacketandHumberMercury_0002,1829.03.11_TheMorningChronicle_0001
1829.03.17_TheHullPacketandHumberMercury_0004,1829.03.02_TheMorningChronicle_0002
1829.03.18_TheAberdeenJournal_0002,1829.03.11_TheDerbyMercury_0002
1829.03.18_TheAberdeenJournal_0004,1829.03.08_TheExaminer_0008
1829.03.18_TheDerbyMercury_0001,1829.03.17_TheBelfastNews-Letter_0003
1829.03.18_TheDerbyMercury_0002,1829.03.17_TheBelfastNews-Letter_0002
1829.03.18_TheDerbyMercury_0004,1829.03.17_TheBelfastNews-Letter_0004
1829.03.18_TheMorningChronicle_0004,1829.03.16_CaledonianMercury_0002
1829.03.19_CaledonianMercury_0002,1829.03.13_TheMorningChronicle_0002
1829.03.19_NorthWalesChronicle_0001,1829.03.17_TheBelfastNews-Letter_0001
1829.03.19_NorthWalesChronicle_0004,1829.03.11_TheMorningChronicle_0001
1829.03.20_LiverpoolMercuryetc_0005,1829.03.14_TheNewcastleCourantetc_0003
1829.03.20_TheBelfastNews-Letter_0002,1829.03.16_TheMorningChronicle_0003
1829.03.20_TheBelfastNews-Letter_0004,1829.03.18_TheMorningChronicle_0004
1829.03.21_CaledonianMercury_0002,1829.03.18_TheMorningChronicle_0002
1829.03.21_Cobbett'sWeeklyPoliticalRegister_0012,1829.03.13_TheMorningChronicle_0003
1829.03.21_Cobbett'sWeeklyPoliticalRegister_0013,1829.03.13_TheMorningChronicle_0003
1829.03.21_TheLeedsMercury_0002,1829.03.18_TheMorningChronicle_0003
1829.03.21_TheLeedsMercury_0004,1829.03.14_TheNewcastleCourantetc_0003
1829.03.21_TheManchesterTimes_0003,1829.03.15_TheExaminer_0011
1829.03.21_TheNewcastleCourantetc_0002,1829.03.12_TheMorningChronicle_0003
1829.03.21_TheNewcastleCourantetc_0003,1829.03.13_LiverpoolMercuryetc_0005
1829.03.21_TheNewcastleCourantetc_0004,1829.03.18_TheDerbyMercury_0002
1829.03.23_HampshireTelegraphandSussexChronicleetc_0002,1829.03.20_TheBelfastNews-Letter_0002
