Target_Year	Target_Month	Target_Day	Target	Target_Page	Source_Year	Source_Month	Source_Day	Source	Source_Page
1821	1	1	GlasgowHerald	4	1820	12	2	JacksonsOxfordJournal	4
1821	1	3	FreemansJournalandDailyCommercialAdvertiser	4	1820	12	30	JacksonsOxfordJournal	2
1821	1	3	AberdeenJournal	4	1820	12	23	CaledonianMercury	3
1821	1	4	TrewmansExeterFlyingPostorPlymouthandCornishAdvertiser	2	1820	12	18	CaledonianMercury	4
1821	1	5	GlasgowHerald	1	1820	12	31	Examiner	5
1821	1	5	GlasgowHerald	4	1820	12	30	JacksonsOxfordJournal	2
1821	1	5	LiverpoolMercuryetc	2	1820	12	31	Examiner	5
1821	1	8	CaledonianMercury	4	1820	12	29	GlasgowHerald	1
1821	1	13	IpswichJournal	4	1820	11	23	TrewmansExeterFlyingPostorPlymouthandCornishAdvertiser	2
1821	2	3	BristolMercury	1	1820	8	31	TrewmansExeterFlyingPostorPlymouthandCornishAdvertiser	3
1821	2	5	GlasgowHerald	4	1820	12	14	TrewmansExeterFlyingPostorPlymouthandCornishAdvertiser	2
1821	2	10	JacksonsOxfordJournal	2	1820	12	23	BristolMercury	2
1821	2	16	LiverpoolMercuryetc	5	1820	12	23	LeedsMercury	4
1821	2	17	IpswichJournal	3	1820	12	9	LeedsMercury	1
1821	2	24	LeedsMercury	4	1820	11	9	TrewmansExeterFlyingPostorPlymouthandCornishAdvertiser	4
1821	3	3	LeedsMercury	4	1820	11	9	TrewmansExeterFlyingPostorPlymouthandCornishAdvertiser	4
1821	3	17	JacksonsOxfordJournal	4	1820	9	9	NewcastleCourantetc	3
1821	3	17	LeedsMercury	4	1820	11	9	TrewmansExeterFlyingPostorPlymouthandCornishAdvertiser	4
1821	3	24	LeedsMercury	4	1820	11	9	TrewmansExeterFlyingPostorPlymouthandCornishAdvertiser	4
1821	3	31	JacksonsOxfordJournal	2	1820	9	30	NewcastleCourantetc	3
1821	4	28	CaledonianMercury	3	1820	10	16	GlasgowHerald	4
1821	5	5	LeedsMercury	4	1820	11	9	TrewmansExeterFlyingPostorPlymouthandCornishAdvertiser	4
1821	5	12	LeedsMercury	4	1820	11	9	TrewmansExeterFlyingPostorPlymouthandCornishAdvertiser	4
1821	5	30	DerbyMercury	1	1820	12	3	Examiner	9
1821	6	9	LeedsMercury	4	1820	12	2	NewcastleCourantetc	3
1821	6	30	NewcastleCourantetc	3	1820	12	23	JacksonsOxfordJournal	1
1820	1	12	AberdeenJournal	4	1820	1	3	CaledonianMercury	2
1820	1	20	TrewmansExeterFlyingPostorPlymouthandCornishAdvertiser	3	1820	1	15	CaledonianMercury	2
1820	1	22	LeedsMercury	4	1820	1	8	NewcastleCourantetc	3
1820	1	31	BristolMercury	1	1820	1	29	JacksonsOxfordJournal	1
1820	2	5	NewcastleCourantetc	2	1820	2	3	TrewmansExeterFlyingPostorPlymouthandCornishAdvertiser	1
1820	2	12	LeedsMercury	4	1820	2	5	NewcastleCourantetc	2
1820	2	17	FreemansJournalandDailyCommercialAdvertiser	2	1820	1	14	LiverpoolMercuryetc	3
1820	2	19	JacksonsOxfordJournal	4	1820	2	15	FreemansJournalandDailyCommercialAdvertiser	3
1820	2	19	LeedsMercury	4	1820	1	22	NewcastleCourantetc	3
1820	2	24	TrewmansExeterFlyingPostorPlymouthandCornishAdvertiser	3	1820	2	21	CaledonianMercury	2
1820	2	26	JacksonsOxfordJournal	4	1820	1	20	TrewmansExeterFlyingPostorPlymouthandCornishAdvertiser	3
1820	3	4	LeedsMercury	4	1820	2	5	NewcastleCourantetc	2
1820	3	11	LeedsMercury	4	1820	2	5	NewcastleCourantetc	2
1820	3	18	JacksonsOxfordJournal	4	1820	3	16	CaledonianMercury	2
1820	3	25	JacksonsOxfordJournal	2	1820	3	23	TrewmansExeterFlyingPostorPlymouthandCornishAdvertiser	1
1820	3	25	LeedsMercury	4	1820	2	5	NewcastleCourantetc	2
1820	3	30	TrewmansExeterFlyingPostorPlymouthandCornishAdvertiser	2	1820	1	1	JacksonsOxfordJournal	4
1820	4	1	LeedsMercury	4	1820	2	5	NewcastleCourantetc	2
1820	4	8	JacksonsOxfordJournal	4	1820	4	6	TrewmansExeterFlyingPostorPlymouthandCornishAdvertiser	1
1820	4	8	LeedsMercury	4	1820	1	22	NewcastleCourantetc	3
1820	4	22	JacksonsOxfordJournal	4	1820	4	21	FreemansJournalandDailyCommercialAdvertiser	2
1820	4	28	LiverpoolMercuryetc	5	1820	4	8	LeedsMercury	4
1820	5	6	JacksonsOxfordJournal	4	1820	4	29	NewcastleCourantetc	3
1820	5	13	LeedsMercury	2	1820	4	29	JacksonsOxfordJournal	2
1820	5	13	NewcastleCourantetc	3	1820	3	11	LeedsMercury	4
1820	5	27	JacksonsOxfordJournal	1	1820	5	25	TrewmansExeterFlyingPostorPlymouthandCornishAdvertiser	4
1820	6	3	LeedsMercury	4	1820	5	13	JacksonsOxfordJournal	4
1820	6	17	LeedsMercury	4	1820	2	5	NewcastleCourantetc	2
