YEAR	MONTH	DAY	TITLE	PAGE
1833	09	01	TheExaminer	0008
1833	09	01	TheExaminer	0002
1833	09	02	CaledonianMercury	0003
1833	09	02	TheMorningChronicle	0002
1833	09	02	TheMorningChronicle	0004
1833	09	02	Freeman'sJournalandDailyCommercialAdvertiser	0001
1833	09	02	CaledonianMercury	0002
1833	09	02	HampshireTelegraphandSussexChronicleetc	0003
1833	09	02	HampshireTelegraphandSussexChronicleetc	0004
1833	09	01	TheExaminer	0003
1833	09	01	TheExaminer	0001
1833	09	01	TheExaminer	0012
1833	09	02	HampshireTelegraphandSussexChronicleetc	0002
1833	09	02	CaledonianMercury	0001
1833	09	03	NorthWalesChronicle	0004
1833	09	02	TheMorningChronicle	0001
1833	09	04	TheMorningChronicle	0003
1833	09	01	TheExaminer	0007
1833	09	04	TheDerbyMercury	0003
1833	09	03	TheMorningChronicle	0001
1833	09	03	TheMorningChronicle	0004
1833	09	05	Freeman'sJournalandDailyCommercialAdvertiser	0004
1833	09	02	HampshireTelegraphandSussexChronicleetc	0001
1833	09	01	TheExaminer	0005
1833	09	02	Freeman'sJournalandDailyCommercialAdvertiser	0004
1833	09	06	LiverpoolMercuryetc	0008
1833	09	05	TheMorningChronicle	0003
1833	09	01	TheExaminer	0010
1833	09	06	LiverpoolMercuryetc	0003
1833	09	06	TheBelfastNews-Letter	0003
1833	09	04	TheMorningChronicle	0004
1833	09	05	TheMorningChronicle	0002
1833	09	06	TheMorningChronicle	0003
1833	09	06	TheMorningChronicle	0004
1833	09	08	TheExaminer	0001
1833	09	05	CaledonianMercury	0002
1833	09	07	Freeman'sJournalandDailyCommercialAdvertiser	0003
1833	09	07	CaledonianMercury	0003
1833	09	08	TheExaminer	0007
1833	09	07	Cobbett'sWeeklyPoliticalRegister	0021
1833	09	09	HampshireTelegraphandSussexChronicleetc	0001
1833	09	05	Freeman'sJournalandDailyCommercialAdvertiser	0002
1833	09	09	CaledonianMercury	0003
1833	09	09	TheMorningChronicle	0003
1833	09	10	TheMorningChronicle	0002
1833	09	11	TheMorningChronicle	0002
1833	09	11	TheDerbyMercury	0003
1833	09	11	TheMorningChronicle	0003
1833	09	07	Freeman'sJournalandDailyCommercialAdvertiser	0004
1833	09	07	TheIpswichJournal	0002
1833	09	08	TheExaminer	0004
1833	09	12	TheMorningChronicle	0001
1833	09	11	TheMorningChronicle	0001
1833	09	09	TheMorningChronicle	0001
1833	09	09	TheMorningChronicle	0004
1833	09	10	Freeman'sJournalandDailyCommercialAdvertiser	0004
1833	09	08	TheExaminer	0012
1833	09	04	Freeman'sJournalandDailyCommercialAdvertiser	0002
1833	09	13	LiverpoolMercuryetc	0001
1833	09	13	TheHullPacket	0001
1833	09	13	LiverpoolMercuryetc	0006
1833	09	07	Cobbett'sWeeklyPoliticalRegister	0005
1833	09	07	Cobbett'sWeeklyPoliticalRegister	0006
1833	09	07	Cobbett'sWeeklyPoliticalRegister	0014
1833	09	08	TheExaminer	0002
1833	09	14	TheMorningChronicle	0002
1833	09	12	Freeman'sJournalandDailyCommercialAdvertiser	0001
1833	09	13	TheMorningChronicle	0003
1833	09	13	TheMorningChronicle	0004
1833	09	14	TheMorningChronicle	0001
1833	09	12	Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	0001
1833	09	14	TheBristolMercury	0003
1833	09	16	TheMorningChronicle	0002
1833	09	16	TheMorningChronicle	0003
1833	09	14	Cobbett'sWeeklyPoliticalRegister	0009
1833	09	14	Cobbett'sWeeklyPoliticalRegister	0011
1833	09	05	Freeman'sJournalandDailyCommercialAdvertiser	0003
1833	09	15	TheExaminer	0002
1833	09	17	TheMorningChronicle	0003
1833	09	12	TheMorningChronicle	0003
1833	09	14	TheMorningChronicle	0003
1833	09	17	Freeman'sJournalandDailyCommercialAdvertiser	0003
1833	09	16	CaledonianMercury	0003
1833	09	15	TheExaminer	0004
1833	09	17	TheMorningChronicle	0002
1833	09	17	TheMorningChronicle	0004
1833	09	14	CaledonianMercury	0001
1833	09	19	Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser	0002
1833	09	18	TheMorningChronicle	0004
1833	09	17	TheMorningChronicle	0001
