YEAR	MONTH	DAY	TITLE	PAGE
1828	08	01	TheBelfastNews-Letter	0002
1828	08	01	LiverpoolMercuryetc	0002
1828	08	01	TheMorningChronicle	0003
1828	08	02	TheIpswichJournal	0002
1828	08	03	TheExaminer	0001
1828	08	01	TheMorningChronicle	0002
1828	08	02	TheMorningChronicle	0002
1828	08	02	CaledonianMercury	0002
1828	08	02	TheNewcastleCourantetc	0004
1828	08	02	TheMorningChronicle	0001
1828	08	05	TheBelfastNews-Letter	0001
1828	08	04	CaledonianMercury	0004
1828	08	06	TheDerbyMercury	0002
1828	08	04	TheMorningChronicle	0003
1828	08	06	TheMorningChronicle	0001
1828	08	05	TheMorningChronicle	0002
1828	08	05	TheMorningChronicle	0003
1828	08	07	TheMorningChronicle	0003
1828	08	07	TheMorningChronicle	0002
1828	08	08	TheMorningChronicle	0003
1828	08	09	TheMorningChronicle	0002
1828	08	10	TheExaminer	0001
1828	08	06	TheMorningChronicle	0002
1828	08	11	CaledonianMercury	0002
1828	08	10	TheExaminer	0011
1828	08	10	TheExaminer	0013
1828	08	12	TheMorningChronicle	0001
1828	08	13	TheDerbyMercury	0002
1828	08	09	TheMorningChronicle	0001
1828	08	11	TheMorningChronicle	0003
1828	08	12	TheMorningChronicle	0003
1828	08	08	TheMorningChronicle	0002
1828	08	09	TheIpswichJournal	0001
1828	08	13	TheMorningChronicle	0002
1828	08	13	TheMorningChronicle	0004
1828	08	09	Cobbett'sWeeklyPoliticalRegister	0014
1828	08	12	TheMorningChronicle	0002
1828	08	16	TheLeedsMercury	0002
1828	08	17	TheExaminer	0009
1828	08	09	TheMorningChronicle	0003
1828	08	15	TheMorningChronicle	0003
1828	08	14	TheMorningChronicle	0001
1828	08	14	TheMorningChronicle	0003
1828	08	15	TheMorningChronicle	0002
1828	08	19	TheMorningChronicle	0002
1828	08	18	TheMorningChronicle	0001
1828	08	18	TheMorningChronicle	0002
1828	08	15	TheBelfastNews-Letter	0001
1828	08	16	Cobbett'sWeeklyPoliticalRegister	0012
1828	08	16	Cobbett'sWeeklyPoliticalRegister	0014
1828	08	16	Cobbett'sWeeklyPoliticalRegister	0015
1828	08	21	TheMorningChronicle	0003
1828	08	16	TheMorningChronicle	0004
1828	08	20	TheMorningChronicle	0003
1828	08	19	TheMorningChronicle	0003
1828	08	19	TheBristolMercury	0002
1828	08	20	TheMorningChronicle	0002
1828	08	22	TheMorningChronicle	0001
1828	08	22	TheMorningChronicle	0002
1828	08	18	TheMorningChronicle	0003
1828	08	20	TheMorningChronicle	0004
1828	08	24	TheExaminer	0016
1828	08	01	TheBelfastNews-Letter	0004
1828	08	22	TheMorningChronicle	0003
1828	08	22	TheMorningChronicle	0004
1828	08	18	HampshireTelegraphandSussexChronicleetc	0004
1828	08	26	TheMorningChronicle	0002
1828	08	24	TheExaminer	0015
1828	08	29	TheMorningChronicle	0004
1828	08	27	TheMorningChronicle	0003
1828	08	28	NorthWalesChronicle	0003
1828	08	25	TheMorningChronicle	0002
1828	08	26	TheBelfastNews-Letter	0002
1828	08	26	TheMorningChronicle	0004
1828	08	29	LiverpoolMercuryetc	0006
1828	08	27	TheDerbyMercury	0003
1828	08	23	TheMorningChronicle	0003
1828	08	28	TheMorningChronicle	0003
1828	08	27	TheMorningChronicle	0002
1828	08	28	CaledonianMercury	0001
1828	08	29	TheMorningChronicle	0003
1828	08	30	TheMorningChronicle	0003
1828	08	30	Cobbett'sWeeklyPoliticalRegister	0016
1828	08	31	TheExaminer	0016
1828	08	09	TheNewcastleCourantetc	0001
1828	08	28	CaledonianMercury	0003
1828	08	30	TheMorningChronicle	0002
1828	08	30	TheMorningChronicle	0004
1828	08	31	TheExaminer	0012
1828	08	01	LiverpoolMercuryetc	0007
1828	08	29	TheMorningChronicle	0002
1828	08	23	Cobbett'sWeeklyPoliticalRegister	0015
1828	08	30	Cobbett'sWeeklyPoliticalRegister	0013
1828	08	28	TheMorningChronicle	0002
1828	08	19	TheMorningChronicle	0001
1828	08	30	Cobbett'sWeeklyPoliticalRegister	0014
1828	08	13	TheDerbyMercury	0001
1828	08	20	TheDerbyMercury	0001
1828	08	06	TheDerbyMercury	0001
1828	08	22	LiverpoolMercuryetc	0007
1828	08	16	TheLeedsMercury	0001
1828	08	15	LiverpoolMercuryetc	0007
