345	535	515	I:\BL_TXTS\1800s\1800\03\1800.03.01_Jackson'sOxfordJournal_0002.txt	I:\BL_TXTS\1800s\1800\03\1800.03.01_CaledonianMercury_0002.txt
438	625	594	I:\BL_TXTS\1800s\1800\03\1800.03.01_Jackson'sOxfordJournal_0002.txt	I:\BL_TXTS\1800s\1800\03\1800.03.01_CaledonianMercury_0003.txt
429	567	582	I:\BL_TXTS\1800s\1800\03\1800.03.01_Jackson'sOxfordJournal_0003.txt	I:\BL_TXTS\1800s\1800\03\1800.03.01_CaledonianMercury_0003.txt
388	553	563	I:\BL_TXTS\1800s\1800\03\1800.03.01_TheIpswichJournal_0002.txt	I:\BL_TXTS\1800s\1800\03\1800.03.01_Jackson'sOxfordJournal_0002.txt
420	696	698	I:\BL_TXTS\1800s\1800\03\1800.03.01_TheIpswichJournal_0004.txt	I:\BL_TXTS\1800s\1800\03\1800.03.01_Jackson'sOxfordJournal_0004.txt
726	931	932	I:\BL_TXTS\1800s\1800\03\1800.03.03_CaledonianMercury_0001.txt	I:\BL_TXTS\1800s\1800\03\1800.03.01_CaledonianMercury_0001.txt
248	302	317	I:\BL_TXTS\1800s\1800\03\1800.03.03_CaledonianMercury_0001.txt	I:\BL_TXTS\1800s\1800\03\1800.03.01_CaledonianMercury_0004.txt
251	366	342	I:\BL_TXTS\1800s\1800\03\1800.03.03_CaledonianMercury_0002.txt	I:\BL_TXTS\1800s\1800\03\1800.03.01_TheIpswichJournal_0002.txt
278	374	374	I:\BL_TXTS\1800s\1800\03\1800.03.03_CaledonianMercury_0004.txt	I:\BL_TXTS\1800s\1800\03\1800.03.01_CaledonianMercury_0004.txt
375	577	562	I:\BL_TXTS\1800s\1800\03\1800.03.03_PortsmouthTelegraphorMottley'sNavalandMilitaryJournal_0002.txt	I:\BL_TXTS\1800s\1800\03\1800.03.01_CaledonianMercury_0002.txt
311	455	441	I:\BL_TXTS\1800s\1800\03\1800.03.03_TheAberdeenJournal_0004.txt	I:\BL_TXTS\1800s\1800\03\1800.03.01_Jackson'sOxfordJournal_0001.txt
239	396	405	I:\BL_TXTS\1800s\1800\03\1800.03.04_TheHullPacket_0004.txt	I:\BL_TXTS\1800s\1800\03\1800.03.01_CaledonianMercury_0002.txt
332	438	442	I:\BL_TXTS\1800s\1800\03\1800.03.06_CaledonianMercury_0001.txt	I:\BL_TXTS\1800s\1800\03\1800.03.01_CaledonianMercury_0001.txt
422	574	569	I:\BL_TXTS\1800s\1800\03\1800.03.06_CaledonianMercury_0001.txt	I:\BL_TXTS\1800s\1800\03\1800.03.03_CaledonianMercury_0001.txt
216	326	328	I:\BL_TXTS\1800s\1800\03\1800.03.06_CaledonianMercury_0003.txt	I:\BL_TXTS\1800s\1800\03\1800.03.03_TheAberdeenJournal_0004.txt
723	954	940	I:\BL_TXTS\1800s\1800\03\1800.03.06_CaledonianMercury_0004.txt	I:\BL_TXTS\1800s\1800\03\1800.03.01_CaledonianMercury_0004.txt
302	388	383	I:\BL_TXTS\1800s\1800\03\1800.03.06_CaledonianMercury_0004.txt	I:\BL_TXTS\1800s\1800\03\1800.03.03_CaledonianMercury_0001.txt
330	480	503	I:\BL_TXTS\1800s\1800\03\1800.03.06_TheDerbyMercury_0001.txt	I:\BL_TXTS\1800s\1800\03\1800.03.01_CaledonianMercury_0003.txt
280	408	405	I:\BL_TXTS\1800s\1800\03\1800.03.06_TheDerbyMercury_0001.txt	I:\BL_TXTS\1800s\1800\03\1800.03.01_Jackson'sOxfordJournal_0003.txt
300	439	431	I:\BL_TXTS\1800s\1800\03\1800.03.06_TheDerbyMercury_0003.txt	I:\BL_TXTS\1800s\1800\03\1800.03.01_Jackson'sOxfordJournal_0002.txt
517	843	830	I:\BL_TXTS\1800s\1800\03\1800.03.06_TheDerbyMercury_0003.txt	I:\BL_TXTS\1800s\1800\03\1800.03.01_TheIpswichJournal_0002.txt
227	323	325	I:\BL_TXTS\1800s\1800\03\1800.03.06_TheDerbyMercury_0003.txt	I:\BL_TXTS\1800s\1800\03\1800.03.03_CaledonianMercury_0002.txt
213	355	360	I:\BL_TXTS\1800s\1800\03\1800.03.06_Trewman'sExeterFlyingPost_0002.txt	I:\BL_TXTS\1800s\1800\03\1800.03.01_CaledonianMercury_0003.txt
287	372	373	I:\BL_TXTS\1800s\1800\03\1800.03.08_CaledonianMercury_0001.txt	I:\BL_TXTS\1800s\1800\03\1800.03.01_CaledonianMercury_0001.txt
236	308	306	I:\BL_TXTS\1800s\1800\03\1800.03.08_CaledonianMercury_0001.txt	I:\BL_TXTS\1800s\1800\03\1800.03.01_CaledonianMercury_0004.txt
440	556	535	I:\BL_TXTS\1800s\1800\03\1800.03.08_CaledonianMercury_0001.txt	I:\BL_TXTS\1800s\1800\03\1800.03.03_CaledonianMercury_0001.txt
240	311	309	I:\BL_TXTS\1800s\1800\03\1800.03.08_CaledonianMercury_0001.txt	I:\BL_TXTS\1800s\1800\03\1800.03.06_CaledonianMercury_0001.txt
600	758	729	I:\BL_TXTS\1800s\1800\03\1800.03.08_CaledonianMercury_0001.txt	I:\BL_TXTS\1800s\1800\03\1800.03.06_CaledonianMercury_0004.txt
