1829.09.01_TheHullPacketandHumberMercury_0001,1829.09.01_TheBristolMercury_0001
1829.09.02_TheAberdeenJournal_0002,1829.09.01_TheBelfastNews-Letter_0004
1829.09.02_TheDerbyMercury_0001,1829.09.01_TheHullPacketandHumberMercury_0001
1829.09.04_LiverpoolMercuryetc_0002,1829.09.01_TheMorningChronicle_0002
1829.09.04_LiverpoolMercuryetc_0003,1829.09.01_TheHullPacketandHumberMercury_0001
1829.09.04_TheBelfastNews-Letter_0002,1829.09.01_TheMorningChronicle_0002
1829.09.04_TheBelfastNews-Letter_0002,1829.09.02_TheDerbyMercury_0002
1829.09.05_CaledonianMercury_0004,1829.09.03_TheMorningChronicle_0001
1829.09.05_Cobbett'sWeeklyPoliticalRegister_0010,1829.09.01_TheMorningChronicle_0002
1829.09.05_TheManchesterTimesandGazette_0002,1829.09.01_TheMorningChronicle_0002
1829.09.05_TheNewcastleCourantetc_0002,1829.09.01_TheBelfastNews-Letter_0002
1829.09.05_TheNewcastleCourantetc_0003,1829.09.01_TheHullPacketandHumberMercury_0001
1829.09.05_TheNewcastleCourantetc_0003,1829.09.04_LiverpoolMercuryetc_0003
1829.09.05_TheNewcastleCourantetc_0004,1829.09.01_TheBristolMercury_0003
1829.09.05_TheNewcastleCourantetc_0004,1829.09.01_TheHullPacketandHumberMercury_0002
1829.09.05_TheNewcastleCourantetc_0004,1829.09.01_TheHullPacketandHumberMercury_0003
1829.09.05_TheNewcastleCourantetc_0004,1829.09.02_TheDerbyMercury_0002
1829.09.06_TheExaminer_0009,1829.09.05_TheMorningChronicle_0001
1829.09.07_CaledonianMercury_0002,1829.09.04_TheMorningChronicle_0002
1829.09.07_CaledonianMercury_0002,1829.09.05_TheMorningChronicle_0001
1829.09.07_CaledonianMercury_0002,1829.09.06_TheExaminer_0009
1829.09.07_TheMorningChronicle_0001,1829.09.01_TheHullPacketandHumberMercury_0001
1829.09.07_TheMorningChronicle_0001,1829.09.02_TheDerbyMercury_0001
1829.09.07_TheMorningChronicle_0001,1829.09.05_TheNewcastleCourantetc_0001
1829.09.07_TheMorningChronicle_0002,1829.09.07_HampshireTelegraphandSussexChronicleetc_0004
1829.09.07_TheMorningChronicle_0003,1829.09.05_TheLeedsMercury_0003
1829.09.07_TheMorningChronicle_0003,1829.09.07_HampshireTelegraphandSussexChronicleetc_0003
1829.09.08_TheBelfastNews-Letter_0001,1829.09.04_TheMorningChronicle_0002
1829.09.08_TheBelfastNews-Letter_0001,1829.09.07_CaledonianMercury_0002
1829.09.08_TheBristolMercury_0001,1829.09.08_TheBelfastNews-Letter_0004
1829.09.08_TheHullPacketandHumberMercury_0001,1829.09.01_TheMorningChronicle_0004
1829.09.08_TheHullPacketandHumberMercury_0001,1829.09.04_TheBelfastNews-Letter_0002
1829.09.08_TheHullPacketandHumberMercury_0001,1829.09.05_TheNewcastleCourantetc_0003
1829.09.08_TheHullPacketandHumberMercury_0004,1829.09.04_TheBelfastNews-Letter_0004
