1806.05.03_Jackson'sOxfordJournal_0001,1806.05.03_CaledonianMercury_0002
1806.05.03_Jackson'sOxfordJournal_0002,1806.05.01_TheMorningChronicle_0004
1806.05.03_Jackson'sOxfordJournal_0002,1806.05.01_Trewman'sExeterFlyingPost_0004
1806.05.03_Jackson'sOxfordJournal_0002,1806.05.03_CaledonianMercury_0003
1806.05.03_Jackson'sOxfordJournal_0004,1806.05.01_CaledonianMercury_0002
1806.05.03_Jackson'sOxfordJournal_0004,1806.05.01_Trewman'sExeterFlyingPost_0003
1806.05.03_TheNewcastleCourantetc_0002,1806.05.01_Trewman'sExeterFlyingPost_0002
1806.05.03_TheNewcastleCourantetc_0002,1806.05.03_Jackson'sOxfordJournal_0004
1806.05.03_TheNewcastleCourantetc_0004,1806.05.01_CaledonianMercury_0002
1806.05.05_CaledonianMercury_0002,1806.05.03_Jackson'sOxfordJournal_0002
1806.05.05_HampshireTelegraphandSussexChronicleetc_0004,1806.05.01_Trewman'sExeterFlyingPost_0002
1806.05.05_HampshireTelegraphandSussexChronicleetc_0004,1806.05.03_TheNewcastleCourantetc_0002
1806.05.07_TheAberdeenJournal_0002,1806.05.01_CaledonianMercury_0002
1806.05.07_TheAberdeenJournal_0002,1806.05.03_CaledonianMercury_0004
1806.05.07_TheAberdeenJournal_0002,1806.05.05_CaledonianMercury_0004
1806.05.07_TheAberdeenJournal_0003,1806.05.01_CaledonianMercury_0003
1806.05.08_TheDerbyMercury_0001,1806.05.03_Jackson'sOxfordJournal_0001
1806.05.08_TheDerbyMercury_0004,1806.05.01_Trewman'sExeterFlyingPost_0003
1806.05.08_Trewman'sExeterFlyingPost_0001,1806.05.08_CaledonianMercury_0002
1806.05.08_Trewman'sExeterFlyingPost_0003,1806.05.03_Jackson'sOxfordJournal_0004
1806.05.08_Trewman'sExeterFlyingPost_0003,1806.05.05_CaledonianMercury_0003
1806.05.10_CaledonianMercury_0002,1806.05.08_Trewman'sExeterFlyingPost_0004
