1832.11.03_PrestonChronicle_0002,1832.11.01_CaledonianMercury_0004
1832.11.03_PrestonChronicle_0003,1832.11.02_LiverpoolMercuryetc_0006
1832.11.03_PrestonChronicle_0003,1832.11.02_LiverpoolMercuryetc_0007
1832.11.03_TheBristolMercury_0002,1832.11.01_TheMorningChronicle_0002
1832.11.03_TheLeedsMercury_0006,1832.11.02_LiverpoolMercuryetc_0007
1832.11.03_TheLeedsMercury_0007,1832.11.03_PrestonChronicle_0004
1832.11.03_TheNewcastleCourantetc_0003,1832.11.01_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004
1832.11.04_TheExaminer_0007,1832.11.02_TheMorningChronicle_0002
1832.11.04_TheExaminer_0008,1832.11.02_TheMorningChronicle_0002
1832.11.04_TheExaminer_0009,1832.11.01_TheMorningChronicle_0003
1832.11.04_TheExaminer_0012,1832.11.02_TheMorningChronicle_0004
1832.11.05_CaledonianMercury_0001,1832.11.02_TheMorningChronicle_0002
1832.11.05_CaledonianMercury_0001,1832.11.04_TheExaminer_0008
1832.11.05_CaledonianMercury_0002,1832.11.03_PrestonChronicle_0003
1832.11.05_CaledonianMercury_0002,1832.11.03_TheMorningChronicle_0003
1832.11.05_CaledonianMercury_0004,1832.11.03_PrestonChronicle_0004
1832.11.05_Freeman'sJournalandDailyCommercialAdvertiser_0002,1832.11.05_CaledonianMercury_0002
1832.11.05_HampshireTelegraphandSussexChronicleetc_0002,1832.11.03_CaledonianMercury_0002
1832.11.05_HampshireTelegraphandSussexChronicleetc_0002,1832.11.03_PrestonChronicle_0004
1832.11.05_TheMorningChronicle_0002,1832.11.05_HampshireTelegraphandSussexChronicleetc_0004
1832.11.05_TheMorningChronicle_0003,1832.11.03_TheLeedsMercury_0003
1832.11.05_TheMorningChronicle_0003,1832.11.05_HampshireTelegraphandSussexChronicleetc_0004
1832.11.06_TheHullPacketandHumberMercury_0001,1832.11.03_TheNewcastleCourantetc_0003
1832.11.06_TheHullPacketandHumberMercury_0001,1832.11.05_HampshireTelegraphandSussexChronicleetc_0001
1832.11.06_TheHullPacketandHumberMercury_0002,1832.11.03_PrestonChronicle_0002
1832.11.06_TheHullPacketandHumberMercury_0002,1832.11.03_PrestonChronicle_0004
1832.11.07_Freeman'sJournalandDailyCommercialAdvertiser_0003,1832.11.04_TheExaminer_0001
1832.11.07_TheAberdeenJournal_0004,1832.11.03_PrestonChronicle_0002
1832.11.07_TheAberdeenJournal_0004,1832.11.03_TheNewcastleCourantetc_0002
1832.11.07_TheAberdeenJournal_0004,1832.11.05_CaledonianMercury_0004
1832.11.07_TheDerbyMercury_0001,1832.11.05_HampshireTelegraphandSussexChronicleetc_0001
1832.11.07_TheDerbyMercury_0001,1832.11.06_TheHullPacketandHumberMercury_0001
1832.11.07_TheDerbyMercury_0004,1832.11.02_LiverpoolMercuryetc_0006
1832.11.07_TheDerbyMercury_0004,1832.11.05_CaledonianMercury_0004
1832.11.07_TheDerbyMercury_0004,1832.11.05_HampshireTelegraphandSussexChronicleetc_0003
1832.11.07_TheDerbyMercury_0004,1832.11.07_Freeman'sJournalandDailyCommercialAdvertiser_0004
1832.11.07_TheMorningChronicle_0001,1832.11.06_Freeman'sJournalandDailyCommercialAdvertiser_0002
1832.11.08_CaledonianMercury_0001,1832.11.04_TheExaminer_0002
1832.11.08_CaledonianMercury_0002,1832.11.05_TheMorningChronicle_0004
1832.11.08_CaledonianMercury_0002,1832.11.07_Freeman'sJournalandDailyCommercialAdvertiser_0004
1832.11.08_CaledonianMercury_0004,1832.11.02_TheBelfastNews-Letter_0001
1832.11.08_CaledonianMercury_0004,1832.11.02_TheMorningChronicle_0004
1832.11.08_CaledonianMercury_0004,1832.11.05_TheMorningChronicle_0002
1832.11.08_CaledonianMercury_0004,1832.11.05_TheMorningChronicle_0003
1832.11.08_CaledonianMercury_0004,1832.11.07_TheDerbyMercury_0004
1832.11.08_Freeman'sJournalandDailyCommercialAdvertiser_0003,1832.11.05_TheMorningChronicle_0004
1832.11.09_LiverpoolMercuryetc_0007,1832.11.03_PrestonChronicle_0003
1832.11.09_LiverpoolMercuryetc_0008,1832.11.08_TheMorningChronicle_0002
1832.11.09_TheBelfastNews-Letter_0001,1832.11.07_TheMorningChronicle_0001
1832.11.09_TheBelfastNews-Letter_0002,1832.11.07_TheDerbyMercury_0002
1832.11.09_TheBelfastNews-Letter_0004,1832.11.08_TheMorningChronicle_0004
1832.11.10_CaledonianMercury_0001,1832.11.09_TheMorningChronicle_0003
1832.11.10_Freeman'sJournalandDailyCommercialAdvertiser_0002,1832.11.08_TheMorningChronicle_0002
1832.11.10_Freeman'sJournalandDailyCommercialAdvertiser_0003,1832.11.07_TheMorningChronicle_0002
1832.11.10_Freeman'sJournalandDailyCommercialAdvertiser_0004,1832.11.07_TheMorningChronicle_0004
1832.11.10_PrestonChronicle_0001,1832.11.04_TheExaminer_0007
1832.11.10_PrestonChronicle_0001,1832.11.06_TheHullPacketandHumberMercury_0001
1832.11.10_PrestonChronicle_0001,1832.11.06_TheMorningChronicle_0002
1832.11.10_PrestonChronicle_0001,1832.11.07_TheDerbyMercury_0002
1832.11.10_PrestonChronicle_0001,1832.11.07_TheMorningChronicle_0002
1832.11.10_PrestonChronicle_0001,1832.11.08_Freeman'sJournalandDailyCommercialAdvertiser_0002
1832.11.10_PrestonChronicle_0002,1832.11.05_TheMorningChronicle_0002
1832.11.10_PrestonChronicle_0002,1832.11.05_TheMorningChronicle_0004
1832.11.10_PrestonChronicle_0002,1832.11.07_TheMorningChronicle_0002
1832.11.10_PrestonChronicle_0003,1832.11.02_LiverpoolMercuryetc_0007
1832.11.10_PrestonChronicle_0003,1832.11.09_LiverpoolMercuryetc_0007
1832.11.10_PrestonChronicle_0003,1832.11.09_LiverpoolMercuryetc_0008
1832.11.10_PrestonChronicle_0004,1832.11.03_Cobbett'sWeeklyPoliticalRegister_0002
1832.11.10_PrestonChronicle_0004,1832.11.03_Cobbett'sWeeklyPoliticalRegister_0003
1832.11.10_TheBristolMercury_0001,1832.11.04_TheExaminer_0002
1832.11.10_TheBristolMercury_0001,1832.11.08_CaledonianMercury_0001
1832.11.10_TheBristolMercury_0001,1832.11.09_LiverpoolMercuryetc_0002
1832.11.10_TheBristolMercury_0002,1832.11.09_LiverpoolMercuryetc_0006
1832.11.10_TheBristolMercury_0002,1832.11.10_PrestonChronicle_0004
1832.11.10_TheBristolMercury_0004,1832.11.06_TheBelfastNews-Letter_0001
1832.11.10_TheLeedsMercury_0004,1832.11.08_TheMorningChronicle_0002
1832.11.10_TheLeedsMercury_0004,1832.11.09_TheMorningChronicle_0001
1832.11.10_TheLeedsMercury_0004,1832.11.10_Freeman'sJournalandDailyCommercialAdvertiser_0002
1832.11.10_TheLeedsMercury_0006,1832.11.08_TheMorningChronicle_0001
1832.11.10_TheLeedsMercury_0008,1832.11.07_TheMorningChronicle_0003
1832.11.10_TheMorningChronicle_0004,1832.11.08_Freeman'sJournalandDailyCommercialAdvertiser_0002
1832.11.10_TheNewcastleCourantetc_0002,1832.11.02_TheBelfastNews-Letter_0001
1832.11.10_TheNewcastleCourantetc_0002,1832.11.03_PrestonChronicle_0002
1832.11.10_TheNewcastleCourantetc_0002,1832.11.06_TheBelfastNews-Letter_0001
1832.11.10_TheNewcastleCourantetc_0002,1832.11.07_TheDerbyMercury_0004
1832.11.10_TheNewcastleCourantetc_0002,1832.11.08_TheMorningChronicle_0001
1832.11.10_TheNewcastleCourantetc_0004,1832.11.02_LiverpoolMercuryetc_0006
1832.11.10_TheNewcastleCourantetc_0004,1832.11.07_TheDerbyMercury_0004
1832.11.10_ThePoorMan'sGuardian_0005,1832.11.08_TheMorningChronicle_0002
1832.11.11_TheExaminer_0002,1832.11.07_TheMorningChronicle_0001
1832.11.11_TheExaminer_0009,1832.11.07_TheMorningChronicle_0003
1832.11.11_TheExaminer_0010,1832.11.08_TheMorningChronicle_0003
1832.11.11_TheExaminer_0011,1832.11.06_TheMorningChronicle_0004
1832.11.11_TheExaminer_0012,1832.11.06_TheMorningChronicle_0004
1832.11.11_TheExaminer_0012,1832.11.10_PrestonChronicle_0002
1832.11.11_TheExaminer_0013,1832.11.08_TheMorningChronicle_0002
1832.11.11_TheExaminer_0013,1832.11.10_TheLeedsMercury_0004
1832.11.11_TheExaminer_0013,1832.11.10_ThePoorMan'sGuardian_0005
1832.11.11_TheExaminer_0014,1832.11.02_TheMorningChronicle_0001
1832.11.12_CaledonianMercury_0001,1832.11.10_TheBristolMercury_0002
1832.11.12_CaledonianMercury_0002,1832.11.09_TheMorningChronicle_0001
1832.11.12_CaledonianMercury_0002,1832.11.10_TheLeedsMercury_0004
1832.11.12_CaledonianMercury_0004,1832.11.07_TheMorningChronicle_0003
1832.11.12_Freeman'sJournalandDailyCommercialAdvertiser_0004,1832.11.09_TheMorningChronicle_0002
1832.11.12_Freeman'sJournalandDailyCommercialAdvertiser_0004,1832.11.12_CaledonianMercury_0001
1832.11.12_Freeman'sJournalandDailyCommercialAdvertiser_0004,1832.11.12_CaledonianMercury_0002
1832.11.12_HampshireTelegraphandSussexChronicleetc_0001,1832.11.06_TheMorningChronicle_0001
1832.11.12_HampshireTelegraphandSussexChronicleetc_0001,1832.11.07_TheDerbyMercury_0001
1832.11.12_HampshireTelegraphandSussexChronicleetc_0002,1832.11.08_TheMorningChronicle_0002
1832.11.12_HampshireTelegraphandSussexChronicleetc_0002,1832.11.10_Freeman'sJournalandDailyCommercialAdvertiser_0002
1832.11.12_HampshireTelegraphandSussexChronicleetc_0002,1832.11.10_PrestonChronicle_0002
1832.11.12_HampshireTelegraphandSussexChronicleetc_0002,1832.11.12_CaledonianMercury_0004
1832.11.12_HampshireTelegraphandSussexChronicleetc_0002,1832.11.12_Freeman'sJournalandDailyCommercialAdvertiser_0004
1832.11.13_Freeman'sJournalandDailyCommercialAdvertiser_0004,1832.11.11_TheExaminer_0002
1832.11.13_TheBelfastNews-Letter_0001,1832.11.08_Freeman'sJournalandDailyCommercialAdvertiser_0002
1832.11.13_TheBelfastNews-Letter_0001,1832.11.10_TheMorningChronicle_0004
1832.11.13_TheBelfastNews-Letter_0002,1832.11.07_TheMorningChronicle_0003
1832.11.13_TheBelfastNews-Letter_0002,1832.11.10_TheLeedsMercury_0008
1832.11.13_TheBelfastNews-Letter_0004,1832.11.06_Freeman'sJournalandDailyCommercialAdvertiser_0003
1832.11.13_TheBelfastNews-Letter_0004,1832.11.08_TheMorningChronicle_0002
1832.11.13_TheBelfastNews-Letter_0004,1832.11.09_TheMorningChronicle_0002
1832.11.13_TheBelfastNews-Letter_0004,1832.11.10_TheLeedsMercury_0004
1832.11.13_TheBelfastNews-Letter_0004,1832.11.12_CaledonianMercury_0001
1832.11.13_TheBelfastNews-Letter_0004,1832.11.12_Freeman'sJournalandDailyCommercialAdvertiser_0004
1832.11.13_TheHullPacketandHumberMercury_0002,1832.11.08_TheMorningChronicle_0002
1832.11.13_TheHullPacketandHumberMercury_0002,1832.11.09_TheMorningChronicle_0002
1832.11.13_TheHullPacketandHumberMercury_0002,1832.11.10_PrestonChronicle_0002
1832.11.13_TheHullPacketandHumberMercury_0002,1832.11.10_TheLeedsMercury_0004
1832.11.13_TheHullPacketandHumberMercury_0002,1832.11.10_ThePoorMan'sGuardian_0005
1832.11.13_TheHullPacketandHumberMercury_0002,1832.11.11_TheExaminer_0012
1832.11.13_TheHullPacketandHumberMercury_0002,1832.11.11_TheExaminer_0013
1832.11.13_TheHullPacketandHumberMercury_0002,1832.11.12_CaledonianMercury_0001
1832.11.13_TheHullPacketandHumberMercury_0002,1832.11.12_CaledonianMercury_0002
1832.11.13_TheHullPacketandHumberMercury_0002,1832.11.12_Freeman'sJournalandDailyCommercialAdvertiser_0004
1832.11.13_TheHullPacketandHumberMercury_0002,1832.11.13_TheBelfastNews-Letter_0004
